sentence_id,word_id,word,original_word,position,sentence,length,frequency,log_frequency,difficulty,predictability,logit_predictability,skip_probability,regression_probability,total_occurrences
57,0,fleming,Fleming,0,Fleming was born Marilyn Fleming in Canada.,7,4.45,0.6483600109809317,0.9410581808199153,0.0,-4.605120183487925,1.0,1.0,4
57,1,was,was,1,Fleming was born Marilyn Fleming in Canada.,3,5654.73,3.75241187322089,0.65887164788901,1.0,-3.728283411029316,0.0,0.0,4
57,2,born,born,2,Fleming was born Marilyn Fleming in Canada.,4,83.69,1.9226735678585543,0.8252114938310405,0.8880149712098809,-2.774588322333249,0.0,0.0,4
57,3,marilyn,Marilyn,3,Fleming was born Marilyn Fleming in Canada.,7,8.84,0.9464522650130731,0.9139588849988115,0.5335040471906191,-4.605120183487925,1.0,1.0,4
57,4,fleming,Fleming,4,Fleming was born Marilyn Fleming in Canada.,7,4.45,0.6483600109809317,0.9410581808199153,0.606467968939094,-4.605120183487925,0.0,1.0,4
57,5,in,in,5,Fleming was born Marilyn Fleming in Canada.,2,9773.41,3.9900461180481677,0.6372685347228939,0.7034832772911297,-3.2917589476813305,0.0,0.0,4
57,6,canada,Canada.,6,Fleming was born Marilyn Fleming in Canada.,6,10.78,1.0326187608507198,0.9061255671953892,0.8233159316011972,-4.605120183487925,0.0,0.0,4
12,0,in,In,0,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",2,9773.41,3.9900461180481677,0.6372685347228939,0.878008462373675,-2.134203956152185,1.0,0.0,4
12,1,1879,"1879,",1,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",4,1.0,0.0,1.0,0.0,-4.605120183487925,0.0,0.25,4
12,2,he,he,2,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",2,7637.2,3.882934163885178,0.6470059851013474,0.6441469135429531,-3.1108782507603756,0.0,0.0,4
12,3,left,left,3,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",4,484.45,2.68524896024201,0.7558864581598173,0.7532623104238501,-2.817815150334844,0.75,0.0,4
12,4,home,home,4,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",4,774.33,2.888926085535086,0.7373703558604467,1.0,-1.8261216227273596,0.25,0.75,4
12,5,for,for,5,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",3,6895.1,3.8385405691533854,0.6510417664406014,0.9520393632423205,-0.09424739029211263,0.0,0.0,4
12,6,the,the,6,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",3,29449.18,4.469073206544746,0.5937206175868412,0.5987145978275383,-0.7488653042593514,0.25,0.0,4
12,7,nearby,nearby,7,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",6,8.33,0.9206450014067876,0.9163049998721102,0.46220324288132075,-4.605120183487925,0.75,0.75,4
12,8,city,city,8,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",4,169.1,2.2281436075977417,0.7974414902183871,1.0,-4.605120183487925,0.25,0.0,4
12,9,of,of,9,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",2,11577.24,4.063605036452092,0.6305813603225371,0.9467690014387234,-1.7410934380373306,0.0,0.0,4
12,10,detroit,Detroit,10,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",7,10.55,1.0232524596337116,0.9069770491242081,0.8518148999130487,-4.605120183487925,1.0,0.0,4
12,11,to,to,11,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",2,22677.84,4.355601686871926,0.6040362102843704,0.8829839104333574,-2.237243275044198,0.0,0.0,4
12,12,work,work,12,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",4,798.02,2.9020137757878146,0.7361805658374714,0.9618499185615286,-3.917792074912111,1.0,0.0,4
12,13,as,as,13,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",2,2217.02,3.345769610954118,0.6958391262768984,1.0,-1.9581477685625817,0.0,0.0,4
