mean_FFD,mean_GD,mean_GPT,mean_TRT,mean_meanPupilSize,mean_nFixations,omission_rate,participant_id,regression_rate,regressions,revisit_rate,revisited_words,sentence_content,sentence_id,skip_rate,skipped_words,total_fixations,total_words
138.41666666666666,138.41666666666666,238.08333333333334,204.66666666666666,578.0763888888888,1.5,0.2,ZKB,0.3888888888888889,7.0,0.2,3.0,"With his interest in race cars, he formed a second company, the Henry Ford Company.",0,0.2,3.0,18.0,15
106.45,158.75,299.35,229.35,545.345,2.15,0.25925925925925924,ZKB,0.3953488372093023,17.0,0.2962962962962963,8.0,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.",1,0.25925925925925924,7.0,43.0,27
92.85714285714286,116.28571428571429,385.85714285714283,333.0,570.2634920634921,3.380952380952381,0.08695652173913043,ZKB,0.4507042253521127,32.0,0.782608695652174,18.0,"Ford was forced out of the company by the investors, including Henry M. Leland in 1902, and the company was reorganized as Cadillac.",2,0.08695652173913043,2.0,71.0,23
109.3225806451613,126.70967741935483,362.8709677419355,240.74193548387098,554.8317204301076,2.032258064516129,0.16216216216216217,ZKB,0.3968253968253968,25.0,0.43243243243243246,16.0,"In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.",3,0.16216216216216217,6.0,63.0,37
106.55555555555556,163.61111111111111,391.77777777777777,359.8888888888889,557.0166666666667,2.8333333333333335,0.28,ZKB,0.4117647058823529,21.0,0.36,9.0,"These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year.",4,0.28,7.0,51.0,25
99.26923076923077,141.19230769230768,384.15384615384613,293.9230769230769,554.2179487179487,2.5384615384615383,0.21212121212121213,ZKB,0.42424242424242425,28.0,0.3939393939393939,13.0,"Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.",5,0.21212121212121213,7.0,66.0,33
97.0,109.11111111111111,558.2222222222222,337.3333333333333,591.5296296296297,2.888888888888889,0.3076923076923077,ZKB,0.34615384615384615,9.0,0.6923076923076923,9.0,"In the years between the wars, Henry Ford supported Adolf Hitler's Nazi regime.",6,0.3076923076923077,4.0,26.0,13
113.05882352941177,121.82352941176471,196.64705882352942,171.2941176470588,587.9411764705883,1.5294117647058822,0.22727272727272727,ZKB,0.38461538461538464,10.0,0.22727272727272727,5.0,There is also some evidence that Henry Ford gave Adolf Hitler direct financial backing when Hitler was first starting out in politics.,7,0.22727272727272727,5.0,26.0,22
108.8125,129.78125,215.40625,183.71875,539.0416666666666,1.65625,0.21951219512195122,ZKB,0.37735849056603776,20.0,0.24390243902439024,10.0,"This can in part be traced to statements from Kurt Ludecke, Germany's representative to the U.S. in the 1920s, and Winifred Wagner, daughter-in-law of Richard Wagner, who said they requested funds from Ford to aid the National Socialist movement in Germany.",8,0.21951219512195122,9.0,53.0,41
124.77272727272727,168.04545454545453,363.95454545454544,278.40909090909093,559.4280303030303,2.272727272727273,0.26666666666666666,ZKB,0.42,21.0,0.36666666666666664,11.0,"Although Ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees Clarence Avery, Peter E. Martin, Charles E. Sorensen, and C.H.",9,0.26666666666666666,8.0,50.0,30
