mean_FFD,mean_GD,mean_GPT,mean_TRT,mean_meanPupilSize,mean_nFixations,omission_rate,participant_id,regression_rate,regressions,revisit_rate,revisited_words,sentence_content,sentence_id,skip_rate,skipped_words,total_fixations,total_words
131.77777777777777,141.88888888888889,452.1111111111111,279.55555555555554,1656.1666666666667,2.3333333333333335,0.4,ZDM,0.47619047619047616,10.0,0.4666666666666667,7.0,"With his interest in race cars, he formed a second company, the Henry Ford Company.",0,0.4,6.0,21.0,15
119.5,119.5,237.5,190.77272727272728,1678.7348484848487,1.6818181818181819,0.18518518518518517,ZDM,0.4444444444444444,16.0,0.37037037037037035,10.0,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.",1,0.18518518518518517,5.0,36.0,27
106.57142857142857,125.28571428571429,175.85714285714286,156.42857142857142,1662.8214285714287,1.2857142857142858,0.391304347826087,ZDM,0.3888888888888889,7.0,0.08695652173913043,2.0,"Ford was forced out of the company by the investors, including Henry M. Leland in 1902, and the company was reorganized as Cadillac.",2,0.391304347826087,9.0,18.0,23
98.42857142857143,98.42857142857143,198.28571428571428,149.92857142857142,1478.9523809523812,1.3928571428571428,0.24324324324324326,ZDM,0.46153846153846156,18.0,0.2702702702702703,10.0,"In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.",3,0.24324324324324326,9.0,39.0,37
107.85714285714286,130.57142857142858,202.35714285714286,169.0,1448.1071428571431,1.5714285714285714,0.44,ZDM,0.4090909090909091,9.0,0.16,4.0,"These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year.",4,0.44,11.0,22.0,25
108.65217391304348,108.65217391304348,301.69565217391306,172.52173913043478,1446.7028985507247,1.5217391304347827,0.30303030303030304,ZDM,0.5142857142857142,18.0,0.21212121212121213,7.0,"Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.",5,0.30303030303030304,10.0,35.0,33
115.3,115.3,255.5,187.5,1549.0,1.6,0.23076923076923078,ZDM,0.375,6.0,0.3076923076923077,4.0,"In the years between the wars, Henry Ford supported Adolf Hitler's Nazi regime.",6,0.23076923076923078,3.0,16.0,13
105.25,105.25,195.5,122.3125,1516.5625,1.125,0.2727272727272727,ZDM,0.3888888888888889,7.0,0.09090909090909091,2.0,There is also some evidence that Henry Ford gave Adolf Hitler direct financial backing when Hitler was first starting out in politics.,7,0.2727272727272727,6.0,18.0,22
105.85185185185185,131.66666666666666,189.14814814814815,152.03703703703704,1417.7901234567898,1.3703703703703705,0.34146341463414637,ZDM,0.40540540540540543,15.0,0.12195121951219512,5.0,"This can in part be traced to statements from Kurt Ludecke, Germany's representative to the U.S. in the 1920s, and Winifred Wagner, daughter-in-law of Richard Wagner, who said they requested funds from Ford to aid the National Socialist movement in Germany.",8,0.34146341463414637,14.0,37.0,41
102.35714285714286,121.78571428571429,208.64285714285714,165.64285714285714,1423.3154761904764,1.6428571428571428,0.5333333333333333,ZDM,0.30434782608695654,7.0,0.1,3.0,"Although Ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees Clarence Avery, Peter E. Martin, Charles E. Sorensen, and C.H.",9,0.5333333333333333,16.0,23.0,30
